time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003032,-0.0719,0.0377,-0.0872,0.119
0.016690,0.0533,-0.0419,0.0194,0.070
0.035564,0.0247,-0.0159,-0.0166,0.034
0.056252,0.0367,-0.0212,-0.0014,0.042
0.073320,0.0388,-0.0187,-0.0061,0.043
0.091947,0.0349,-0.0141,-0.0013,0.038
0.111434,0.0419,-0.0259,-0.0077,0.050
0.130840,0.0358,-0.0226,-0.0002,0.042
0.149755,0.0344,-0.0215,-0.0014,0.041
0.169042,0.0367,-0.0147,0.0011,0.040
0.187207,0.0343,-0.0172,0.0012,0.038
0.205960,0.0391,-0.0244,-0.0028,0.046
0.226313,0.0319,-0.0174,-0.0001,0.036
0.245353,0.0304,-0.0198,-0.0061,0.037
0.262890,0.0363,-0.0211,-0.0052,0.042
0.283066,0.0292,-0.0185,-0.0001,0.035
0.301598,0.0376,-0.0208,-0.0039,0.043
0.321971,0.0303,-0.0219,-0.0073,0.038
0.340291,0.0385,-0.0219,-0.0062,0.045
0.357940,0.0303,-0.0197,-0.0071,0.037
0.378375,0.0387,-0.0245,-0.0077,0.046
0.396761,0.0363,-0.0187,-0.0049,0.041
0.416362,0.0305,-0.0223,-0.0074,0.038
0.435587,0.0351,-0.0199,-0.0098,0.042
0.455049,0.0363,-0.0237,-0.0015,0.043
0.475607,0.0277,-0.0223,-0.0109,0.037
0.492038,0.0254,-0.0163,-0.0010,0.030
0.511795,0.0350,-0.0235,-0.0015,0.042
0.530403,0.0303,-0.0258,-0.0062,0.040
0.548937,0.0302,-0.0235,-0.0061,0.039
0.568558,0.0326,-0.0247,-0.0074,0.042
0.587526,0.0373,-0.0188,-0.0015,0.042
0.605741,0.0337,-0.0191,-0.0049,0.039
0.625320,0.0373,-0.0200,-0.0051,0.043
0.644652,0.0348,-0.0226,-0.0101,0.043
0.663304,0.0348,-0.0262,-0.0078,0.044
0.682901,0.0347,-0.0229,-0.0015,0.042
0.702029,0.0299,-0.0252,-0.0039,0.039
0.721424,0.0334,-0.0180,-0.0075,0.039
0.739672,0.0356,-0.0228,-0.0076,0.043
0.757940,0.0365,-0.0254,-0.0042,0.045
0.778328,0.0318,-0.0219,-0.0051,0.039
0.796936,0.0329,-0.0219,-0.0051,0.040
0.816254,0.0327,-0.0230,-0.0051,0.040
0.835141,0.0291,-0.0184,0.0000,0.034
0.854776,0.0303,-0.0220,-0.0036,0.038
0.873350,0.0351,-0.0254,-0.0051,0.044
0.892167,0.0343,-0.0268,0.0020,0.044
0.911339,0.0338,-0.0278,-0.0066,0.044
0.929991,0.0290,-0.0230,-0.0061,0.037
0.948376,0.0312,-0.0214,-0.0109,0.039
0.968682,0.0276,-0.0239,-0.0037,0.037
0.987355,0.0371,-0.0227,-0.0076,0.044
1.005710,0.0382,-0.0203,-0.0015,0.043
1.024989,0.0286,-0.0228,-0.0001,0.037
1.043262,0.0285,-0.0264,-0.0063,0.039
1.063054,0.0344,-0.0263,-0.0052,0.044
1.082492,0.0390,-0.0204,-0.0039,0.044
1.101049,0.0292,-0.0240,-0.0039,0.038
1.121071,0.0328,-0.0201,-0.0099,0.040
1.139929,0.0315,-0.0232,-0.0001,0.039
1.158243,0.0304,-0.0259,-0.0039,0.040
1.177071,0.0330,-0.0185,-0.0063,0.038
1.196355,0.0248,-0.0198,-0.0012,0.032
1.216296,0.0342,-0.0182,-0.0099,0.040
1.234308,0.0389,-0.0208,-0.0052,0.044
1.253958,0.0305,-0.0199,-0.0025,0.037
1.272074,0.0281,-0.0160,-0.0072,0.033
1.291148,0.0328,-0.0178,0.0011,0.037
1.310689,0.0316,-0.0215,-0.0003,0.038
1.329817,0.0232,-0.0311,-0.0063,0.039
1.348316,0.0352,-0.0250,-0.0112,0.045
1.368391,0.0329,-0.0219,0.0045,0.040
1.387381,0.0302,-0.0278,0.0009,0.041
1.405673,0.0338,-0.0229,-0.0016,0.041
1.426630,0.0413,-0.0276,0.0008,0.050
1.444747,0.0292,-0.0217,-0.0001,0.036
1.462158,0.0399,-0.0272,-0.0102,0.049
1.482846,0.0314,-0.0204,-0.0013,0.037
1.501457,0.0301,-0.0205,-0.0037,0.037
1.521293,0.0313,-0.0207,-0.0015,0.038
1.540200,0.0277,-0.0246,-0.0013,0.037
1.559856,0.0323,-0.0257,-0.0051,0.042
1.579987,0.0300,-0.0222,-0.0037,0.037
1.596613,0.0288,-0.0283,-0.0052,0.041
1.618318,0.0303,-0.0244,-0.0040,0.039
1.635745,0.0386,-0.0205,-0.0102,0.045
1.653318,0.0302,-0.0257,-0.0064,0.040
1.671937,0.0314,-0.0224,-0.0027,0.039
1.691711,0.0314,-0.0201,-0.0049,0.038
1.709755,0.0335,-0.0262,0.0054,0.043
1.729419,0.0286,-0.0222,-0.0063,0.037
1.747908,0.0334,-0.0245,-0.0054,0.042
1.768361,0.0298,-0.0259,-0.0051,0.040
1.790746,0.0393,-0.0308,-0.0054,0.050
1.810147,0.0321,-0.0238,-0.0064,0.041
1.829318,0.0368,-0.0240,-0.0029,0.044
1.848226,0.0330,-0.0285,-0.0114,0.045
1.867655,0.0334,-0.0288,-0.0006,0.044
1.887053,0.0288,-0.0227,-0.0064,0.037
1.907658,0.0279,-0.0189,-0.0149,0.037
1.924844,0.0366,-0.0192,-0.0077,0.042
1.944305,0.0283,-0.0220,-0.0147,0.039
1.964068,0.0258,-0.0243,0.0080,0.036
1.981440,0.0292,-0.0285,-0.0126,0.043
2.001621,0.0295,-0.0248,-0.0053,0.039
2.020192,0.0257,-0.0204,-0.0012,0.033
2.039791,0.0307,-0.0237,-0.0063,0.039
2.058759,0.0309,-0.0299,-0.0027,0.043
2.078854,0.0272,-0.0248,-0.0099,0.038
2.095821,0.0296,-0.0270,-0.0089,0.041
2.114626,0.0355,-0.0283,-0.0090,0.046
2.135927,0.0271,-0.0187,-0.0060,0.033
2.153352,0.0306,-0.0261,-0.0066,0.041
2.173434,0.0249,-0.0237,-0.0039,0.035
2.192264,0.0235,-0.0236,-0.0074,0.034
