time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.013776,-0.0084,-0.0099,-0.0234,0.027
0.033576,0.0086,-0.0067,0.0041,0.012
0.051544,0.0111,-0.0081,-0.0053,0.015
0.070566,0.0038,-0.0056,-0.0043,0.008
0.090209,-0.0046,-0.0080,-0.0076,0.012
0.108235,0.0014,-0.0082,-0.0065,0.011
0.126835,0.0001,-0.0105,-0.0079,0.013
0.146964,0.0086,-0.0084,-0.0019,0.012
0.166509,0.0047,-0.0025,-0.0042,0.007
0.184599,0.0072,-0.0059,-0.0090,0.013
0.204156,0.0013,-0.0145,-0.0031,0.015
0.223271,0.0026,-0.0062,0.0006,0.007
0.241029,0.0049,-0.0086,-0.0042,0.011
0.260965,0.0026,-0.0088,0.0029,0.010
0.279923,0.0027,-0.0147,0.0005,0.015
0.299617,0.0051,-0.0098,0.0006,0.011
0.318468,-0.0008,-0.0062,-0.0004,0.006
0.337328,0.0052,-0.0107,0.0005,0.012
0.356698,0.0029,-0.0117,-0.0018,0.012
0.376006,0.0041,-0.0092,0.0030,0.011
0.394421,-0.0006,-0.0114,-0.0065,0.013
0.412845,0.0079,-0.0102,-0.0041,0.014
0.432135,0.0067,-0.0018,-0.0017,0.007
0.451575,0.0021,-0.0099,-0.0041,0.011
0.471226,0.0046,-0.0097,-0.0029,0.011
0.489502,0.0033,-0.0110,0.0019,0.012
0.508807,0.0044,-0.0134,-0.0020,0.014
0.527298,0.0046,-0.0121,0.0041,0.014
0.547181,0.0070,-0.0037,-0.0041,0.009
0.565430,0.0083,-0.0120,-0.0020,0.015
0.584918,0.0154,-0.0071,-0.0034,0.017
0.604087,0.0012,-0.0083,0.0007,0.008
0.623425,0.0061,-0.0116,-0.0031,0.013
0.641426,0.0095,-0.0070,-0.0043,0.013
0.660557,0.0062,-0.0083,-0.0031,0.011
0.679775,0.0074,-0.0037,-0.0031,0.009
0.699050,0.0038,-0.0083,-0.0053,0.011
0.717863,0.0074,-0.0084,0.0017,0.011
0.736513,0.0086,-0.0091,-0.0102,0.016
0.756903,0.0064,-0.0104,0.0005,0.012
0.774934,0.0111,-0.0090,0.0017,0.014
0.793968,0.0064,-0.0101,0.0005,0.012
0.813576,0.0087,-0.0030,0.0019,0.009
0.833802,0.0051,-0.0050,-0.0018,0.007
0.850881,0.0135,-0.0017,0.0043,0.014
0.870480,0.0027,-0.0040,0.0043,0.006
0.888827,0.0016,-0.0086,-0.0004,0.009
0.908947,0.0051,-0.0026,0.0007,0.006
0.926810,0.0089,-0.0085,-0.0056,0.014
0.946227,0.0113,-0.0120,-0.0042,0.017
0.965530,0.0042,-0.0035,-0.0075,0.009
0.984173,0.0100,-0.0001,-0.0029,0.010
1.008664,0.0065,-0.0097,0.0055,0.013
1.027000,0.0090,-0.0096,-0.0006,0.013
1.046754,0.0102,-0.0106,-0.0069,0.016
1.065016,0.0077,-0.0035,0.0007,0.009
1.083711,0.0053,-0.0059,0.0019,0.008
1.103541,0.0053,-0.0105,-0.0065,0.013
1.122745,0.0090,0.0018,-0.0065,0.011
1.141070,0.0090,-0.0016,-0.0089,0.013
1.160675,0.0044,-0.0005,-0.0005,0.004
1.179411,0.0057,-0.0038,0.0031,0.008
1.197881,0.0033,-0.0082,-0.0100,0.013
1.217707,0.0118,-0.0108,-0.0008,0.016
1.237076,0.0129,-0.0032,-0.0064,0.015
1.256271,0.0116,-0.0042,0.0019,0.013
1.274676,0.0127,-0.0056,0.0054,0.015
1.293798,0.0091,-0.0029,-0.0052,0.011
1.312320,0.0093,-0.0053,-0.0091,0.014
1.331381,0.0116,-0.0050,-0.0040,0.013
1.350245,0.0009,-0.0063,-0.0040,0.008
1.369617,0.0092,-0.0017,-0.0052,0.011
1.388341,0.0091,-0.0053,-0.0030,0.011
