"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2023","29","PM2.5","DAYTON - W MAIN","53-013-0002","AQS","17","4","29"
"01/02/2023","26","PM2.5","DAYTON - W MAIN","53-013-0002","AQS","24","4","26"
"01/03/2023","30","PM2.5","DAYTON - W MAIN","53-013-0002","AQS","20","6","30"
"01/04/2023","40","PM2.5","DAYTON - W MAIN","53-013-0002","AQS","33","7","40"
"01/05/2023","31","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AQS","31","8","31"
"01/06/2023","32","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AQS","22","12","32"
"01/07/2023","37","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","37","11","23"
"01/08/2023","37","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","37","8","8"
"01/09/2023","34","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","34","6","18"
"01/10/2023","29","PM2.5","DAYTON - W MAIN","53-013-0002","AQS","17","7","29"
"01/11/2023","38","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AQS","25","11","38"
"01/12/2023","21","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","21","9","16"
"01/13/2023","30","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","30","8","12"
"01/14/2023","34","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","34","8","27"
"01/15/2023","28","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","28","5","15"
"01/16/2023","28","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","28","6","16"
"01/17/2023","24","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","24","11","17"
"01/18/2023","33","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","33","13","18"
"01/19/2023","29","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","29","8","20"
"01/20/2023","28","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","28","12","27"
"01/21/2023","39","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AQS","31","8","39"
"01/22/2023","33","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AQS","28","16","33"
"01/23/2023","36","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AQS","24","12","36"
"01/24/2023","40","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AQS","24","22","40"
"01/25/2023","46","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AQS","23","20","46"
"01/26/2023","34","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","34","13","23"
"01/27/2023","26","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","26","7","15"
"01/28/2023","27","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","27","8","7"
"01/29/2023","35","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","35","5","16"
"01/30/2023","32","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AQS","32","10","32"
"01/31/2023","32","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","32","14","26"
"02/01/2023","52","PM2.5","DAYTON - W MAIN","53-013-0002","AQS","19","19","52"
"02/02/2023","56","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AQS","24","25","56"
"02/03/2023","55","PM2.5","DAYTON - W MAIN","53-013-0002","AQS","39","26","55"
"02/04/2023","35","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","35","17","27"
"02/05/2023","32","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","32","6","15"
"02/06/2023","35","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","35","4","7"
"02/07/2023","38","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","38","4","10"
"02/08/2023","36","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","36","6","15"
"02/09/2023","34","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","34","13","22"
"02/10/2023","36","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","36","14","22"
"02/11/2023","36","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AQS","28","14","36"
"02/12/2023","34","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","34","8","26"
"02/13/2023","34","PM10","BURBANK - MAPLE ST","53-071-0006","AQS","34","34","10"
"02/14/2023","33","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","33","8","14"
"02/15/2023","32","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","32","11","16"
"02/16/2023","31","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","31","20","30"
"02/17/2023","38","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","38","9","19"
"02/18/2023","35","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","35","6","16"
"02/19/2023","44","PM10","BURBANK - MAPLE ST","53-071-0006","AQS","35","44","9"
"02/20/2023","119","PM10","BURBANK - MAPLE ST","53-071-0006","AQS","35","119","7"
"02/21/2023","55","PM10","BURBANK - MAPLE ST","53-071-0006","AQS","36","55","13"
"02/22/2023","37","PM10","BURBANK - MAPLE ST","53-071-0006","AQS","31","37","16"
"02/23/2023","33","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","33","28","18"
"02/24/2023","33","PM2.5","DAYTON - W MAIN","53-013-0002","AQS","30","9","33"
"02/25/2023","33","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AQS","31","11","33"
"02/26/2023","34","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","34","31","18"
"02/27/2023","39","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","39","8","13"
"02/28/2023","14","PM10","BURBANK - MAPLE ST","53-071-0006","AQS",".","14","8"
"03/01/2023","36","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","36","14","16"
"03/02/2023","52","PM10","BURBANK - MAPLE ST","53-071-0006","AQS","39","52","8"
"03/03/2023","39","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","39","16","12"
"03/04/2023","43","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","43","8","19"
"03/05/2023","38","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","38","6","15"
"03/06/2023","40","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","40","7","13"
"03/07/2023","38","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","38","12","18"
"03/08/2023","42","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","42","14","16"
"03/09/2023","42","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","42","9","13"
"03/10/2023","38","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","38","2","12"
"03/11/2023","37","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","37","5","18"
"03/12/2023","42","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","42","6","20"
"03/13/2023","40","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","40","8","5"
"03/14/2023","39","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","39","4","11"
"03/15/2023","38","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","38","7","14"
"03/16/2023","45","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","45","10","13"
"03/17/2023","44","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","44","17","21"
"03/18/2023","49","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","49","17","19"
